Silo Noriap;Tonnage R25 (t);Tonnage blé R25 (t);Unéal le plus proche;Distance Unéal (km);Doublon Unéal <7km;Ternoveo le plus proche;Distance Ternoveo (km);Doublon Ternoveo <7km;Doublon multiple
AILLY SUR NOYE;37694;23305;MORLANCOURT;30.1;non;MONTDIDIER;18.33;non;
SALEUX;34913;25042;VADENCOURT;25.4;non;BRASSY;19.88;non;
LANGUEVOISIN;27919;22034;CARTIGNY;18.4;non;ETREILLERS;18.39;non;
BELLE ASSISE;23099;14496;MORLANCOURT;36.35;non;MONTDIDIER;5.42;OUI;
SENALIA NORIAP;21893;20133;GRAND-COURONNE;1.72;OUI;BRASSY;86.54;non;
GANNES;20646;14252;MORLANCOURT;44.49;non;MONTDIDIER;11.37;non;
QUIVIERES;20026;18665;CARTIGNY;9.84;non;ETREILLERS;9.39;non;
FLEURY;19978;11419;VADENCOURT;39.89;non;BRASSY;6.86;OUI;
SMERMESNIL;17382;11720;FOREST-MONTIERS;48.07;non;BRASSY;42.72;non;
FOUILLOY NOUVEAU;16893;12413;VADENCOURT;56.18;non;BRASSY;15.02;non;
HORNOY PLAINE;15580;10150;VADENCOURT;44.12;non;BRASSY;9.2;non;
HAUTVILLERS OUVILLE;15303;13370;FOREST-MONTIERS;8.67;non;BOUQUEMAISON;38.59;non;
BOVES;14262;11203;VADENCOURT;19.79;non;MEAULTE;24.7;non;
TRICOT;13460;10064;MORLANCOURT;43.15;non;MONTDIDIER;8.99;non;
OUAINVILLE;13416;11302;GRAND-COURONNE;56.99;non;BRASSY;104.86;non;
FEUQUIERES;12498;10323;FOREST-MONTIERS;22.38;non;BRASSY;49.17;non;
MOREUIL CEREALES APPRO;12483;8704;MORLANCOURT;23.11;non;MONTDIDIER;15.54;non;
LA CHAUSSEE TIRANCOURT;12393;7548;VADENCOURT;24.81;non;BRASSY;26.59;non;
HARGICOURT;12370;7015;MORLANCOURT;26.66;non;MONTDIDIER;9.2;non;
ESSERTAUX ZONE INDUSTRIELLE;12253;3996;VADENCOURT;34.28;non;BRASSY;15.21;non;
MONTDIDIER NORIAP floury;12141;8803;MORLANCOURT;34.06;non;MONTDIDIER;1.46;OUI;
SEUX;12071;9469;VADENCOURT;31.6;non;BRASSY;16.69;non;
LIEUVILLERS;11954;9106;MORLANCOURT;54.28;non;BRENOUILLE;19.12;non;
FAUVILLE - TERRES DE CAUX;11685;10211;GRAND-COURONNE;45.79;non;BRASSY;105.88;non;
LANCHERES;11538;9359;FOREST-MONTIERS;15.24;non;BOUQUEMAISON;55.87;non;
FERRIERES EN BRAY;11462;6890;GRAND-COURONNE;54.81;non;BRASSY;35.4;non;
POIX;11190;5808;VADENCOURT;44.52;non;BRASSY;6.42;OUI;
MARQUISE;11050;8020;MARQUISE;1.11;OUI;VIEILLE-EGLISE;27.35;non;
BENESVILLE;10560;8614;GRAND-COURONNE;47.34;non;BRASSY;86.53;non;
ROYE;10500;8334;DOINGT;27.25;non;MONTDIDIER;18.28;non;
BEUVRAIGNES;10165;7367;DOINGT;33.5;non;MONTDIDIER;15.7;non;
AVESNES LES BAPAUME;9921;7482;AVESNES-LES-BAPAUME;0.94;OUI;ACHIET-LE-PETIT;6.37;OUI;OUI
MOLLIENS DREUIL;9827;6738;VADENCOURT;35.45;non;BRASSY;17.85;non;
FORMERIE NORIAP;9705;5863;GRAND-COURONNE;60.89;non;BRASSY;25.03;non;
NOYELLES EN CHAUSSEE;9662;8015;GUESCHART;4.02;OUI;BOUQUEMAISON;26.04;non;
LA NEUVILLE;9617;8002;LA NEUVILLE-LES-BRAY;3.04;OUI;DOMPIERRE-BECQUINCOURT;4.8;OUI;OUI
MESNIERE en BRAY;9590;6486;GRAND-COURONNE;52.96;non;BRASSY;46.76;non;
ST SAUFLIEU;9522;7499;VADENCOURT;31.09;non;BRASSY;16.6;non;
PETIT CAMON;9491;7385;VADENCOURT;13.79;non;MEAULTE;22.57;non;
VATIERVILLE;9330;5961;FOREST-MONTIERS;54.28;non;BRASSY;39.35;non;
THIETREVILLE;9309;7635;GRAND-COURONNE;53.55;non;BRASSY;110.49;non;
CRITOT;9275;6774;GRAND-COURONNE;33.27;non;BRASSY;58.94;non;
SAINT MAULVIS;9127;6356;FOREST-MONTIERS;38.31;non;BRASSY;24.91;non;
BUCHY/BOSC ROGER;9011;4939;GRAND-COURONNE;36.2;non;BRASSY;51.61;non;
CANAPLES;8996;6481;VADENCOURT;19.94;non;BOUQUEMAISON;19.69;non;
YVETOT AIRPORT;8867;6602;GRAND-COURONNE;36.73;non;BRASSY;94.51;non;
HANGEST SUR SOMME;8474;6241;GUESCHART;25.02;non;BRASSY;31.17;non;
HAUDIVILLERS 2;8182;4918;MORLANCOURT;58.98;non;MONTDIDIER;28.42;non;
HANGEST EN SANTERRE;7968;7296;MORLANCOURT;22.12;non;MONTDIDIER;12.78;non;
LABOISSIERE;7926;6026;MORLANCOURT;32.17;non;MONTDIDIER;9.36;non;
BAROMESNIL;7700;5655;FOREST-MONTIERS;36.53;non;BRASSY;52.11;non;
BEAUCAMPS LE VIEUX;7670;5814;FOREST-MONTIERS;44.41;non;BRASSY;22.72;non;
N D GRAVENCHON - PORT JEROME;7526;3819;GRAND-COURONNE;29.77;non;BRASSY;102.36;non;
GRANDVILLIERS;7434;4637;VADENCOURT;56.0;non;BRASSY;10.79;non;
MENEVILLERS;7284;5648;MORLANCOURT;47.48;non;MONTDIDIER;13.64;non;
BOIS BLEU - AIRAINES;7178;4827;GUESCHART;32.57;non;BRASSY;24.43;non;
BEAUVAL;7079;4851;MONDICOURT;10.44;non;BOUQUEMAISON;10.64;non;
BAILLEUL;7077;6327;NEUF-BERQUIN;9.64;non;BUSNES;23.23;non;
HOLQUE;6870;6269;CAPPELLE-BROUCK;5.51;OUI;VIEILLE-EGLISE;12.13;non;
CRIQUETOT L'ESNEVAL;6775;5190;GRAND-COURONNE;62.29;non;BRASSY;127.45;non;
THIOUVILLE;6616;4470;GRAND-COURONNE;47.45;non;BRASSY;102.41;non;
FRETHUN;6615;4995;CAFFIERS;7.42;non;VIEILLE-EGLISE;16.98;non;
PIHEM;6611;5496;DELETTES;4.99;OUI;THEROUANNE;6.36;OUI;OUI
CANDAS;6407;4747;MONDICOURT;16.1;non;BOUQUEMAISON;13.2;non;
HALLENCOURT;6223;3840;GUESCHART;29.37;non;BRASSY;30.91;non;
DOMART EN PONTHIEU_NOUVEAU;6099;4460;FOREST-MONTIERS;17.03;non;BRASSY;50.33;non;
SOCX;6074;5708;ESQUELBECQ;6.69;OUI;BIERNE;2.08;OUI;OUI
RAMBURES;6071;4628;FOREST-MONTIERS;31.96;non;BRASSY;34.7;non;
BEAUDEDUIT PLAINE;6052;4467;VADENCOURT;49.43;non;BRASSY;6.14;OUI;
FRIAUCOURT;5774;5020;FOREST-MONTIERS;25.29;non;BRASSY;57.84;non;
RUBEMPRE;5615;4113;VADENCOURT;7.36;non;MEAULTE;20.63;non;
OISEMONT;5523;4304;FOREST-MONTIERS;31.71;non;BRASSY;31.87;non;
RUE;5422;4402;FOREST-MONTIERS;5.76;OUI;BOUQUEMAISON;47.93;non;
TOTES;5366;4218;GRAND-COURONNE;35.91;non;BRASSY;71.36;non;
FRESNE LE PLAN;5282;3136;GRAND-COURONNE;22.17;non;BRASSY;63.73;non;
SAUVILLERS GP 8 rue d'aubvillers;5265;5265;MORLANCOURT;27.79;non;MONTDIDIER;11.18;non;
ERCHEU;5243;4078;CARTIGNY;23.87;non;CAILLOUEL-CREPIGNY;16.53;non;
GUINES;5212;4023;CAFFIERS;4.06;OUI;VIEILLE-EGLISE;14.8;non;
LAMBRES-LEZ-AIRE;5196;4490;AIRE SUR LA LYS;1.52;OUI;BUSNES;9.28;non;
BONNEUIL;5133;4121;VADENCOURT;41.42;non;BRASSY;14.36;non;
LONGPRE LES CORPS SAINTS;4987;2556;GUESCHART;23.28;non;BRASSY;34.13;non;
PONT D'ARDRES;4955;4415;CAFFIERS;11.26;non;VIEILLE-EGLISE;8.26;non;
CHAULNES;4940;4251;LA NEUVILLE-LES-BRAY;16.66;non;DOMPIERRE-BECQUINCOURT;10.73;non;
MOYENNEVILLE;4857;3715;FOREST-MONTIERS;18.16;non;BRASSY;43.92;non;
LA FALOISE;4830;3490;MORLANCOURT;35.01;non;MONTDIDIER;15.89;non;
NEUFBOSC;4797;2955;GRAND-COURONNE;41.54;non;BRASSY;49.75;non;
ST JUST EN CHAUSSEE;4722;2330;MORLANCOURT;52.59;non;MONTDIDIER;18.61;non;
EPRETOT;4562;3603;GRAND-COURONNE;53.07;non;BRASSY;124.33;non;
OUTREBOIS;4544;3102;FORTEL-EN-ARTOIS;9.47;non;BOUQUEMAISON;7.79;non;
ARMENTIERES;4520;3896;FOURNES-EN-WEPPES;7.19;non;SALOME;15.21;non;
QUEVAUVILLERS;4498;2813;VADENCOURT;35.45;non;BRASSY;11.27;non;
ESSERTAUX VILLAGE;4488;4488;VADENCOURT;34.95;non;BRASSY;14.84;non;
SOMMEREUX;4446;3356;VADENCOURT;52.31;non;BRASSY;7.22;non;
BOLLEZEELE;4437;4238;LEDERZEELE;6.14;OUI;BIERNE;12.63;non;
LUCHY;4429;2960;VADENCOURT;59.29;non;BRASSY;20.97;non;
OCQUEVILLE;4262;3255;GRAND-COURONNE;55.05;non;BRASSY;97.45;non;
BLANGY SUR BRESLE;4123;2482;FOREST-MONTIERS;36.08;non;BRASSY;35.91;non;
CONTEVILLE;4040;3676;GUESCHART;7.76;non;BOUQUEMAISON;20.51;non;
AILLY LE HAUT CLOCHER;3927;3071;GUESCHART;17.16;non;BOUQUEMAISON;28.72;non;
LOOBERGHE;3914;3307;DUNKERQUE;6.74;OUI;BIERNE;0.92;OUI;OUI
MARCHELEPOT;3846;3689;DOINGT;11.53;non;DOMPIERRE-BECQUINCOURT;9.3;non;
